"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.498559428559159,0.497163747581018,0.0287899600381895,50000,0.95,0.00634201306670778,0.999999998964657,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.500654386731467,0.5031661710621,0.0286657668037901,50000,0.95,2.75520121055733e-13,0.99359099771576,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",-0.00209495817230861,-0.000352504548342307,0.00226947426505086,50000,0.95,-0.923492633350046,0.92099107974779,0,49.942,NA,NA,NA,NA,NA
